   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0      0      1      0   0.11  11.88  11.89   2.42   2.42   1.61   1.73	HLT_Ele8_v2

      0      0      1      0   0.07  11.41  11.10  -1.05  -1.06  -3.13   3.08	HLT_Ele8_v2

      0      0      1      0   0.04  19.77  14.68  -0.80  -0.78  -2.94  -2.98	HLT_Ele8_v2

      0      0      1      0   0.06  11.32  12.12  -1.20  -1.19  -2.61  -2.55	HLT_Ele8_v2

      0      0      1      0   0.05  12.75  12.95   2.11   2.09  -1.07  -1.12	HLT_Ele8_v2

      0      0      1      0   0.18  18.91  18.55  -2.37  -2.39  -3.03   3.08	HLT_Ele8_v2

      0      0      1      0   0.06  13.25  11.62  -0.39  -0.39   1.41   1.35	HLT_Ele8_v2

      0      0      1      0   0.30  10.20  11.62  -0.69  -0.39   1.42   1.35	HLT_Ele8_v2

      0      0      1      0   0.07  11.49  11.09  -1.96  -2.00   1.83   1.77	HLT_Ele8_v2

      0      0      1      0   0.17  11.79  11.85   0.10   0.02  -1.20  -1.34	HLT_Ele8_v2

      0      0      1      0   0.04  20.26  19.95   2.16   2.17   2.11   2.07	HLT_Ele8_v2

      0      0      1      0   0.06  12.82  12.44   1.61   1.62   2.74   2.80	HLT_Ele8_v2

      0      0      1      0   0.06  11.49  10.99   0.55   0.52   0.08   0.13	HLT_Ele8_v2

      0      0      1      0   0.07  16.52  19.79  -2.56  -2.52  -1.37  -1.32	HLT_Ele8_v2

      0      0      1      0   0.15  10.32  10.37   0.16   0.06  -3.06   3.10	HLT_Ele8_v2

      0      0      1      0   0.02  17.78  17.57   1.67   1.68   1.60   1.62	HLT_Ele8_v2

      0      0      1      0   0.04  11.20  11.52   2.50   2.48  -1.09  -1.13	HLT_Ele8_v2

      0      0      1      0   0.06  14.99  11.52  -0.40  -0.40  -0.13  -0.19	HLT_Ele8_v2

      0      0      1      0   0.06  10.30  10.49  -0.61  -0.57   2.59   2.55	HLT_Ele8_v2

      0      0      1      0   0.12  10.83  12.73  -1.14  -1.12  -1.49  -1.37	HLT_Ele8_v2

      0      0      0      0   3.00  11.11   9.34   2.29   2.25  -1.77   1.51	HLT_Ele8_v2

      0      0      1      0   0.08  11.29  11.21  -0.07  -0.14  -1.82  -1.86	HLT_Ele8_v2

      0      0      1      0   0.07  12.56  10.52   0.34   0.37   0.92   0.85	HLT_Ele8_v2

      0      0      1      0   0.06  28.47  28.21   2.40   2.41   1.15   1.21	HLT_Ele8_v2

      0      0      1      0   0.06  10.77   9.98   0.30   0.31  -1.30  -1.36	HLT_Ele8_v2

      0      0      1      0   0.00  35.27  34.97  -1.09  -1.09   1.82   1.82	HLT_Ele8_v2

      0      0      1      0   0.09  10.29  10.26  -0.62  -0.57   0.24   0.32	HLT_Ele8_v2

